State,Year,Cause of death,Deaths,Population,Total Deaths
AL,2021,J13 (Pneumonia due to Streptococcus pneumoniae),47,"5,039,877",
AL,2021,J15.1 (Pneumonia due to Pseudomonas),16,"5,039,877",
AL,2021,J15.2 (Pneumonia due to staphylococcus),24,"5,039,877",
AL,2021,"J15.9 (Bacterial pneumonia, unspecified)",49,"5,039,877",
AL,2021,"J18.0 (Bronchopneumonia, unspecified)",33,"5,039,877",
AL,2021,"J18.1 (Lobar pneumonia, unspecified)",13,"5,039,877",
AL,2021,"J18.9 (Pneumonia, unspecified)",808,"5,039,877",
AL,2021,"J40 (Bronchitis, not specified as acute or chronic)",19,"5,039,877",
AL,2021,"J43.9 (Emphysema, unspecified)",89,"5,039,877",
AL,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),217,"5,039,877",
AL,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",70,"5,039,877",
AL,2021,J44.8 (Other specified chronic obstructive pulmonary disease),15,"5,039,877",
AL,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","2,791","5,039,877",
AL,2021,"J45.9 (Asthma, unspecified)",60,"5,039,877",
AL,2021,J69.0 (Pneumonitis due to food and vomit),332,"5,039,877",
AL,2021,J80 (Adult respiratory distress syndrome),44,"5,039,877",
AL,2021,J81 (Pulmonary oedema),29,"5,039,877",
AL,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),177,"5,039,877",
AL,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",123,"5,039,877",
AL,2021,J86.9 (Pyothorax without fistula),15,"5,039,877",
AL,2021,"J90 (Pleural effusion, not elsewhere classified)",29,"5,039,877",
AL,2021,"J93.9 (Pneumothorax, unspecified)",12,"5,039,877",
AL,2021,J96.0 (Acute respiratory failure),181,"5,039,877",
AL,2021,J96.1 (Chronic respiratory failure),101,"5,039,877",
AL,2021,"J96.9 (Respiratory failure, unspecified)",180,"5,039,877",
AL,2021,J98.4 (Other disorders of lung),34,"5,039,877",
AL,2021,J98.8 (Other specified respiratory disorders),18,"5,039,877",
AL,2021,,,"5,039,877",5650
AK,2021,"J18.9 (Pneumonia, unspecified)",28,"732,673",
AK,2021,"J43.9 (Emphysema, unspecified)",17,"732,673",
AK,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),14,"732,673",
AK,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",14,"732,673",
AK,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)",173,"732,673",
AK,2021,"J45.9 (Asthma, unspecified)",10,"732,673",
AK,2021,J69.0 (Pneumonitis due to food and vomit),30,"732,673",
